field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
1126	3	4	6	10	13	17	21	23	26	27	30	30	35	38	43	46	49	51	55	59		3.048
1127	4	2	6	9	13	17	19	22	23	26	26	31	34	39	42	45	47	51	55	58		3.933
1128	2	4	7	11	15	17	20	21	24	24	29	32	37	40	43	45	49	53	56	59		2.005
1129	4	3	7	11	13	16	17	20	20	25	28	33	36	39	41	45	49	52	55	59		4.162
1130	3	4	8	10	13	14	17	17	22	25	30	33	36	38	42	46	49	52	56	59		2.990
1131	4	4	6	9	10	13	13	18	21	26	29	32	34	38	42	45	48	52	55	59		3.949
1132	4	2	5	6	9	9	14	17	22	25	28	30	34	38	41	44	48	51	55	59		3.507
1133	2	3	4	7	7	12	15	20	23	26	28	32	36	39	42	46	49	53	57	59		1.907
1134	3	1	4	4	9	12	17	20	23	25	29	33	36	39	43	46	50	54	56	57		4.738
1135	1	3	3	8	11	16	19	22	24	28	32	35	38	42	45	49	53	55	56	59		1.066
1136	3	0	5	8	13	16	19	21	25	29	32	35	39	42	46	50	52	53	56	57		3.312
1137	0	5	8	13	16	19	21	25	29	32	35	39	42	46	50	52	53	56	57	60		3.255
1138	5	3	8	11	14	16	20	24	27	30	34	37	41	45	47	48	51	52	55	57		5.102
1139	3	5	8	11	13	17	21	24	27	31	34	38	42	44	45	48	49	52	54	57		2.680
1140	5	3	6	8	12	16	19	22	26	29	33	37	39	40	43	44	47	49	52	55		5.090
1141	3	3	5	9	13	16	19	23	26	30	34	36	37	40	41	44	46	49	52	56		3.068
1142	3	2	6	10	13	16	20	23	27	31	33	34	37	38	41	43	46	49	53	58		3.244
1143	2	4	8	11	14	18	21	25	29	31	32	35	36	39	41	44	47	51	56	59		4.353
1144	4	4	7	10	14	17	21	25	27	28	31	32	35	37	40	43	47	52	55	59		3.465
1145	4	3	6	10	13	17	21	23	24	27	28	31	33	36	39	43	48	51	55	57		2.543
1146	3	3	7	10	14	18	20	21	24	25	28	30	33	36	40	45	48	52	54	56		3.204
1147	3	4	7	11	15	17	18	21	22	25	27	30	33	37	42	45	49	51	53	56		3.300
1148	4	3	7	11	13	14	17	18	21	23	26	29	33	38	41	45	47	49	52	54		3.526
1149	3	4	8	10	11	14	15	18	20	23	26	30	35	38	42	44	46	49	51	56		4.187
1150	4	4	6	7	10	11	14	16	19	22	26	31	34	38	40	42	45	47	52	55		3.805
1151	4	2	3	6	7	10	12	15	18	22	27	30	34	36	38	41	43	48	51	54		2.905
1152	2	1	4	5	8	10	13	16	20	25	28	32	34	36	39	41	46	49	52	54		2.154
