field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
1731	2	3	4	6	8	10	12	14	15	18	21	24	26	28	32	35	36	39	40	44		4.030
1732	3	1	3	5	7	9	11	12	15	18	21	23	25	29	32	33	36	37	41	43		2.637
1733	1	2	4	6	8	10	11	14	17	20	22	24	28	31	32	35	36	40	42	46		1.241
1734	2	2	4	6	8	9	12	15	18	20	22	26	29	30	33	34	38	40	44	45		2.134
1735	2	2	4	6	7	10	13	16	18	20	24	27	28	31	32	36	38	42	43	44		2.366
1736	2	2	4	5	8	11	14	16	18	22	25	26	29	30	34	36	40	41	42	43		2.157
1737	2	2	3	6	9	12	14	16	20	23	24	27	28	32	34	38	39	40	41	43		1.976
1738	2	1	4	7	10	12	14	18	21	22	25	26	30	32	36	37	38	39	41	42		1.804
1739	1	3	6	9	11	13	17	20	21	24	25	29	31	35	36	37	38	40	41	42		1.098
1740	3	3	6	8	10	14	17	18	21	22	26	28	32	33	34	35	37	38	39	42		3.249
1741	3	3	5	7	11	14	15	18	19	23	25	29	30	31	32	34	35	36	39	40		2.895
1742	3	2	4	8	11	12	15	16	20	22	26	27	28	29	31	32	33	36	37	38		0.696
1743	2	2	6	9	10	13	14	18	20	24	25	26	27	29	30	31	34	35	36	37		2.224
1744	2	4	7	8	11	12	16	18	22	23	24	25	27	28	29	32	33	34	35	35		3.319
1745	4	3	4	7	8	12	14	18	19	20	21	23	24	25	28	29	30	31	31	32		0.742
1746	3	1	4	5	9	11	15	16	17	18	20	21	22	25	26	27	28	28	29	31		2.780
1747	1	3	4	8	10	14	15	16	17	19	20	21	24	25	26	27	27	28	30	32		0.882
1748	3	1	5	7	11	12	13	14	16	17	18	21	22	23	24	24	25	27	29	30		3.043
1749	1	4	6	10	11	12	13	15	16	17	20	21	22	23	23	24	26	28	29	31		1.093
1750	4	2	6	7	8	9	11	12	13	16	17	18	19	19	20	22	24	25	27	29		1.965
1751	2	4	5	6	7	9	10	11	14	15	16	17	17	18	20	22	23	25	27	28		2.661
1752	4	1	2	3	5	6	7	10	11	12	13	13	14	16	18	19	21	23	24	27		2.813
1753	1	1	2	4	5	6	9	10	11	12	12	13	15	17	18	20	22	23	26	30		1.333
1754	1	1	3	4	5	8	9	10	11	11	12	14	16	17	19	21	22	25	29	31		0.939
1755	1	2	3	4	7	8	9	10	10	11	13	15	16	18	20	21	24	28	30	31		2.388
1756	2	1	2	5	6	7	8	8	9	11	13	14	16	18	19	22	26	28	29	32		3.344
1757	1	1	4	5	6	7	7	8	10	12	13	15	17	18	21	25	27	28	31	31		2.055
1758	1	3	4	5	6	6	7	9	11	12	14	16	17	20	24	26	27	30	30	32		2.078
1759	3	1	2	3	3	4	6	8	9	11	13	14	17	21	23	24	27	27	29	33		2.067
1760	1	1	2	2	3	5	7	8	10	12	13	16	20	22	23	26	26	28	32	33		0.762
1761	1	1	1	2	4	6	7	9	11	12	15	19	21	22	25	25	27	31	32	36		1.421
1762	1	0	1	3	5	6	8	10	11	14	18	20	21	24	24	26	30	31	35	37		0.357
1763	0	1	3	5	6	8	10	11	14	18	20	21	24	24	26	30	31	35	37	40		1.679
1764	1	2	4	5	7	9	10	13	17	19	20	23	23	25	29	30	34	36	39	41		0.809
1765	2	2	3	5	7	8	11	15	17	18	21	21	23	27	28	32	34	37	39	40		1.825
1766	2	1	3	5	6	9	13	15	16	19	19	21	25	26	30	32	35	37	38	40		1.447
1767	1	2	4	5	8	12	14	15	18	18	20	24	25	29	31	34	36	37	39	40		1.255
1768	2	2	3	6	10	12	13	16	16	18	22	23	27	29	32	34	35	37	38	42		2.768
1769	2	1	4	8	10	11	14	14	16	20	21	25	27	30	32	33	35	36	40	40		3.809
1770	1	3	7	9	10	13	13	15	19	20	24	26	29	31	32	34	35	39	39	41		3.621
1771	3	4	6	7	10	10	12	16	17	21	23	26	28	29	31	32	36	36	38	40		2.833
1772	4	2	3	6	6	8	12	13	17	19	22	24	25	27	28	32	32	34	36	38		3.300
1773	2	1	4	4	6	10	11	15	17	20	22	23	25	26	30	30	32	34	36	37		1.768
1774	1	3	3	5	9	10	14	16	19	21	22	24	25	29	29	31	33	35	36	40		4.175
1775	3	0	2	6	7	11	13	16	18	19	21	22	26	26	28	30	32	33	37	38		2.708
1776	0	2	6	7	11	13	16	18	19	21	22	26	26	28	30	32	33	37	38	41		0.934
1777	2	4	5	9	11	14	16	17	19	20	24	24	26	28	30	31	35	36	39	41		2.075
1778	4	1	5	7	10	12	13	15	16	20	20	22	24	26	27	31	32	35	37	38		3.763
1779	1	4	6	9	11	12	14	15	19	19	21	23	25	26	30	31	34	36	37	39		0.872
1780	4	2	5	7	8	10	11	15	15	17	19	21	22	26	27	30	32	33	35	36		4.502
1781	2	3	5	6	8	9	13	13	15	17	19	20	24	25	28	30	31	33	34	36		2.165
1782	3	2	3	5	6	10	10	12	14	16	17	21	22	25	27	28	30	31	33	35		2.816
1783	2	1	3	4	8	8	10	12	14	15	19	20	23	25	26	28	29	31	33	36		2.485
1784	1	2	3	7	7	9	11	13	14	18	19	22	24	25	27	28	30	32	35	36		1.228
1785	2	1	5	5	7	9	11	12	16	17	20	22	23	25	26	28	30	33	34	36		2.224
1786	1	4	4	6	8	10	11	15	16	19	21	22	24	25	27	29	32	33	35	36		0.849
1787	4	0	2	4	6	7	11	12	15	17	18	20	21	23	25	28	29	31	32	32		2.122
1788	0	2	4	6	7	11	12	15	17	18	20	21	23	25	28	29	31	32	32	34		1.169
1789	2	2	4	5	9	10	13	15	16	18	19	21	23	26	27	29	30	30	32	32		3.872
1790	2	2	3	7	8	11	13	14	16	17	19	21	24	25	27	28	28	30	30	34		0.827
1791	2	1	5	6	9	11	12	14	15	17	19	22	23	25	26	26	28	28	32	34		2.088
1792	1	4	5	8	10	11	13	14	16	18	21	22	24	25	25	27	27	31	33	34		1.033
1793	4	1	4	6	7	9	10	12	14	17	18	20	21	21	23	23	27	29	30	30		1.397
1794	1	3	5	6	8	9	11	13	16	17	19	20	20	22	22	26	28	29	29	31		1.294
1795	3	2	3	5	6	8	10	13	14	16	17	17	19	19	23	25	26	26	28	30		3.442
1796	2	1	3	4	6	8	11	12	14	15	15	17	17	21	23	24	24	26	28	31		1.758
1797	1	2	3	5	7	10	11	13	14	14	16	16	20	22	23	23	25	27	30	33		1.611
1798	2	1	3	5	8	9	11	12	12	14	14	18	20	21	21	23	25	28	31	33		2.952
1799	1	2	4	7	8	10	11	11	13	13	17	19	20	20	22	24	27	30	32	34		0.713
1800	2	2	5	6	8	9	9	11	11	15	17	18	18	20	22	25	28	30	32	34		2.174
1801	2	3	4	6	7	7	9	9	13	15	16	16	18	20	23	26	28	30	32	35		1.622
1802	3	1	3	4	4	6	6	10	12	13	13	15	17	20	23	25	27	29	32	34		2.258
1803	1	2	3	3	5	5	9	11	12	12	14	16	19	22	24	26	28	31	33	36		1.376
1804	2	1	1	3	3	7	9	10	10	12	14	17	20	22	24	26	29	31	34	36		1.499
1805	1	0	2	2	6	8	9	9	11	13	16	19	21	23	25	28	30	33	35	36		1.360
1806	0	2	2	6	8	9	9	11	13	16	19	21	23	25	28	30	33	35	36	40		1.395
1807	2	0	4	6	7	7	9	11	14	17	19	21	23	26	28	31	33	34	38	40		2.780
1808	0	4	6	7	7	9	11	14	17	19	21	23	26	28	31	33	34	38	40	43		2.092
1809	4	2	3	3	5	7	10	13	15	17	19	22	24	27	29	30	34	36	39	42		3.969
1810	2	1	1	3	5	8	11	13	15	17	20	22	25	27	28	32	34	37	40	41		2.209
1811	1	0	2	4	7	10	12	14	16	19	21	24	26	27	31	33	36	39	40	42		2.938
1812	0	2	4	7	10	12	14	16	19	21	24	26	27	31	33	36	39	40	42	44		1.029
1813	2	2	5	8	10	12	14	17	19	22	24	25	29	31	34	37	38	40	42	42		3.093
1814	2	3	6	8	10	12	15	17	20	22	23	27	29	32	35	36	38	40	40	43		1.603
1815	3	3	5	7	9	12	14	17	19	20	24	26	29	32	33	35	37	37	40	43		2.854
1816	3	2	4	6	9	11	14	16	17	21	23	26	29	30	32	34	34	37	40	42		2.836
1817	2	2	4	7	9	12	14	15	19	21	24	27	28	30	32	32	35	38	40	41		2.010
1818	2	2	5	7	10	12	13	17	19	22	25	26	28	30	30	33	36	38	39	39		2.034
1819	2	3	5	8	10	11	15	17	20	23	24	26	28	28	31	34	36	37	37	40		2.039
1820	3	2	5	7	8	12	14	17	20	21	23	25	25	28	31	33	34	34	37	40		1.897
1821	2	3	5	6	10	12	15	18	19	21	23	23	26	29	31	32	32	35	38	41		2.057
1822	3	2	3	7	9	12	15	16	18	20	20	23	26	28	29	29	32	35	38	40		2.935
1823	2	1	5	7	10	13	14	16	18	18	21	24	26	27	27	30	33	36	38	40		4.189
1824	1	4	6	9	12	13	15	17	17	20	23	25	26	26	29	32	35	37	39	41		1.401
1825	4	2	5	8	9	11	13	13	16	19	21	22	22	25	28	31	33	35	37	38		2.777
1826	2	3	6	7	9	11	11	14	17	19	20	20	23	26	29	31	33	35	36	38		2.247
1827	3	3	4	6	8	8	11	14	16	17	17	20	23	26	28	30	32	33	35	37		2.630
1828	3	1	3	5	5	8	11	13	14	14	17	20	23	25	27	29	30	32	34	36		2.625
1829	1	2	4	4	7	10	12	13	13	16	19	22	24	26	28	29	31	33	35	37		1.143
1830	2	2	2	5	8	10	11	11	14	17	20	22	24	26	27	29	31	33	35	37		1.833
1831	2	0	3	6	8	9	9	12	15	18	20	22	24	25	27	29	31	33	35	37		2.071
1832	0	3	6	8	9	9	12	15	18	20	22	24	25	27	29	31	33	35	37	39		1.903
1833	3	3	5	6	6	9	12	15	17	19	21	22	24	26	28	30	32	34	36	40		3.039
1834	3	2	3	3	6	9	12	14	16	18	19	21	23	25	27	29	31	33	37	40		3.196
1835	2	1	1	4	7	10	12	14	16	17	19	21	23	25	27	29	31	35	38	39		2.793
1836	1	0	3	6	9	11	13	15	16	18	20	22	24	26	28	30	34	37	38	40		0.661
1837	0	3	6	9	11	13	15	16	18	20	22	24	26	28	30	34	37	38	40	40		3.561
1838	3	3	6	8	10	12	13	15	17	19	21	23	25	27	31	34	35	37	37	38		2.746
1839	3	3	5	7	9	10	12	14	16	18	20	22	24	28	31	32	34	34	35	38		3.054
1840	3	2	4	6	7	9	11	13	15	17	19	21	25	28	29	31	31	32	35	38		2.841
1841	2	2	4	5	7	9	11	13	15	17	19	23	26	27	29	29	30	33	36	37		2.217
1842	2	2	3	5	7	9	11	13	15	17	21	24	25	27	27	28	31	34	35	36		2.044
1843	2	1	3	5	7	9	11	13	15	19	22	23	25	25	26	29	32	33	34	36		2.251
1844	1	2	4	6	8	10	12	14	18	21	22	24	24	25	28	31	32	33	35	36		0.937
1845	2	2	4	6	8	10	12	16	19	20	22	22	23	26	29	30	31	33	34	37		1.683
1846	2	2	4	6	8	10	14	17	18	20	20	21	24	27	28	29	31	32	35	36		2.210
1847	2	2	4	6	8	12	15	16	18	18	19	22	25	26	27	29	30	33	34	35		3.686
1848	2	2	4	6	10	13	14	16	16	17	20	23	24	25	27	28	31	32	33	34		2.116
1849	2	2	4	8	11	12	14	14	15	18	21	22	23	25	26	29	30	31	32	34		2.129
1850	2	2	6	9	10	12	12	13	16	19	20	21	23	24	27	28	29	30	32	35		0.210
1851	2	4	7	8	10	10	11	14	17	18	19	21	22	25	26	27	28	30	33	35		2.356
1852	4	3	4	6	6	7	10	13	14	15	17	18	21	22	23	24	26	29	31	34		3.978
1853	3	1	3	3	4	7	10	11	12	14	15	18	19	20	21	23	26	28	31	33		2.106
1854	1	2	2	3	6	9	10	11	13	14	17	18	19	20	22	25	27	30	32	32		3.453
1855	2	0	1	4	7	8	9	11	12	15	16	17	18	20	23	25	28	30	30	32		2.779
1856	0	1	4	7	8	9	11	12	15	16	17	18	20	23	25	28	30	30	32	34		2.454
1857	1	3	6	7	8	10	11	14	15	16	17	19	22	24	27	29	29	31	33	35		1.511
1858	3	3	4	5	7	8	11	12	13	14	16	19	21	24	26	26	28	30	32	36		2.642
1859	3	1	2	4	5	8	9	10	11	13	16	18	21	23	23	25	27	29	33	34		2.528
1860	1	1	3	4	7	8	9	10	12	15	17	20	22	22	24	26	28	32	33	33		2.661
1861	1	2	3	6	7	8	9	11	14	16	19	21	21	23	25	27	31	32	32	37		-1.713
1862	2	1	4	5	6	7	9	12	14	17	19	19	21	23	25	29	30	30	35	36		1.989
1863	1	3	4	5	6	8	11	13	16	18	18	20	22	24	28	29	29	34	35	38		1.174
1864	3	1	2	3	5	8	10	13	15	15	17	19	21	25	26	26	31	32	35	39		2.597
